"Entrez GeneId","Gene Symbol","Name","Genome Location","Chr Band","Somatic","Germline","Tumour Types(Somatic)","Tumour Types(Germline)","Cancer Syndrome","Tissue Type","Molecular Genetics","Role in Cancer","Mutation Types","Translocation Partner","Other Germline Mut","Other Syndrome","Synonyms","Uniprot_ID","Annotation"
3320,"HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","14:102081712-102139404","14q32.33","yes","","NHL","","","L","Dom","","T","BCL6","","","ENSG00000080824,3320,HSP90AA1,P07900,LAP2,HSPN,HSPCAL4,HSPCAL1,HSPCA,HSPC1,HSP90N,HSP90A,Hsp90,Hsp89,HSP86,FLJ31884","P07900","5 out of 5"
3326,"HSP90AB1","heat shock protein 90kDa alpha (cytosolic), class B member 1","6:44248630-44253598","6p12","yes","","NHL","","","L","Dom","","T","BCL6","","","HSPCB,HSP90AB1,3326,ENSG00000096384,HSP90B,HSP90-BETA,P08238,D6S182,HSPC2,FLJ26984","P08238","5 out of 5"
3337,"DNAJB1","DnaJ heat shock protein family (Hsp40) member B1","19:14515940-14518349","19p13.2","yes","","fibrolamellar hepatocellular carcinoma","","","E","Dom","","T","PRKACA","","","HSPF1,DNAJB1,3337,ENSG00000132002,P25685,Hdj1,Hsp40","P25685","5 out of 5"
3417,"IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","2:208237079-208251551","2q33.3","yes","","glioblastoma","","","O","Dom","oncogene","Mis","","","","IDP,3417,IDH1,ENSG00000138413,IDH,PICD,O75874","O75874","5 out of 5"
3418,"IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","15:90084266-90102390","15q26.1","yes","","glioblastoma","","","O","Dom","oncogene","Mis","","","","P48735,IDH2,3418,ENSG00000182054,IDHM,mNADP-IDH,IDH,IDP,ICD-M","P48735","5 out of 5"
3551,"IKBKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta","8:42272100-42330979","8p11.2","yes","","SMZL","","","L","Dom","oncogene","Mis","","yes","Immunodeficiency 15","O14920,IKBKB,3551,ENSG00000104365","O14920","5 out of 5"
3558,"IL2","interleukin 2","4:122451752-122456440","4q26-q27","yes","","intestinal T-cell lymphoma","","","L","Dom","","T","TNFRSF17","","","IL-2,3558,IL2,ENSG00000109471,P60568","P60568","5 out of 5"
3572,"IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","5:55941082-55976278","5q11","yes","","hepatocellular carcinoma","","","E","Dom","oncogene","O","","","","CDw130,3572,IL6ST,ENSG00000134352,P40189,IL6R-beta,GP130-RAPS,GP130,CD130","P40189","5 out of 5"
3575,"IL7R","interleukin 7 receptor","5:35856978-35876486","5p13","yes","","ALL, ETP ALL","","","L","Dom","oncogene","Mis, O","","yes","Severe combined immune deficiency","IL7R,P16871,IL-7R-alpha,CDW127,CD127,ENSG00000168685,3575","P16871","5 out of 5"
3646,"EIF3E","eukaryotic translation initiation factor 3, subunit E","8:108201885-108248702","8q22-q23","yes","","colorectal","","","E","Dom","TSG/fusion","T","RSPO3","","","eIF3-p46,EIF3E,3646,ENSG00000104408,EIF3S6,eIF3e,EIF3-P48,INT6","P60228","5 out of 5"
3662,"IRF4","interferon regulatory factor 4","6:393154-407599","6p25-p23","yes","","MM","","","L","Dom","oncogene/TSG","T","IGH","","","LSIRF,3662,IRF4,ENSG00000137265,Q15306","Q15306","5 out of 5"
3702,"ITK","IL2-inducible T-cell kinase","5:157180978-157252678","5q31-q32","yes","","peripheral T-cell lymphoma","","","L","Dom","","T","SYK","","","PSCTK2,ITK,3702,Q08881,ENSG00000113263,EMT,MGC126258,LYK,MGC126257","Q08881","5 out of 5"
3716,"JAK1","Janus kinase 1","1:64834562-64886264","1p32.3-p31.3","yes","","ALL","","","L","Dom","oncogene/TSG","Mis","","","","ENSG00000162434,P23458,JTK3,JAK1B,JAK1A,3716,JAK1","P23458","5 out of 5"
3717,"JAK2","Janus kinase 2","9:5021988-5126791","9p24","yes","","ALL, AML, MPN,  CML","","","L","Dom","oncogene","T, Mis, O","ETV6, PCM1, BCR","","","ENSG00000096968,O60674,JTK10,3717,JAK2","O60674","5 out of 5"
3718,"JAK3","Janus kinase 3","19:17826743-17844417","19p13.1","yes","","acute megakaryocytic leukaemia, ETP ALL","","","L","Dom","oncogene","Mis","","","","L-JAK,3718,JAK3,ENSG00000105639,P52333,JAKL,JAK-3,LJAK,JAK3_HUMAN","P52333","5 out of 5"
3725,"JUN","jun oncogene","1:58782075-58783070","1p32-p31","yes","","sarcoma","","","M","Dom","oncogene","A","","","","P05412,JUN,3725,ENSG00000177606,AP1,c-Jun","P05412","5 out of 5"
3762,"KCNJ5","potassium inwardly-rectifying channel; subfamily J; member 5","11:128911274-128916731","11q24","yes","","adrenal adenoma","","","E","Dom","oncogene","Mis","","yes","Familial hyperaldosteronism type III, Long QT syndrome","ENSG00000120457,3762,KCNJ5,P48544,KIR3_4,KATP1,GIRK4","P48544","5 out of 5"
3791,"KDR","vascular endothelial growth factor receptor 2","4:55079941-55125293","4q11-q12","yes","yes","NSCLC, angiosarcoma","melanoma","","E","Dom","oncogene","Mis","","","","VEGFR2,3791,KDR,ENSG00000128052,P35968,VEGFR,CD309,FLK1","P35968","5 out of 5"
3799,"KIF5B","kinesin family member 5B","10:32009010-32055973","10p11.22","yes","","NSCLC, Spitzoid tumour","","","E","Dom","","T","RET, ALK","","","ENSG00000170759,3799,KIF5B,P33176,UKHC,KNS1,KNS,KINH","P33176","5 out of 5"
3815,"KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","4:54658015-54738557","4q12","yes","yes","GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma","familial gastrointestinal stromal tumour","L, M, O, E","Dom","oncogene","Mis, O","","yes","Piebald trait","C-Kit,3815,KIT,ENSG00000157404,CD117,SCFR,P10721","P10721","5 out of 5"
3817,"KLK2","kallikrein-related peptidase 2","19:50873474-50878559","19q13.41","yes","","prostate","","","E","Dom","","T","ETV4","","","P20151,KLK2,3817,ENSG00000167751,MGC12201,hK2,KLK2A2","P20151","5 out of 5"
3845,"KRAS","v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog","12:25209795-25245384","12p12.1","yes","","pancreatic, colorectal, lung, thyroid, AML, other tumour types","","","L, E, M, O","Dom","oncogene","Mis","","","","C-K-RAS,KRAS,3845,P01116,NS3,KI-RAS,KRAS2,K-RAS4A,K-RAS2A,K-RAS4B,KRAS1,K-RAS2B,RASK2","P01116","5 out of 5"
3895,"KTN1","kinectin 1 (kinesin receptor)","14:55612050-55680691","14q22.1","yes","","papillary thyroid","","","E","Dom","","T","RET","","","Q86UP2,KTN1,3895,ENSG00000126777,KIAA0004,CG1","Q86UP2","5 out of 5"
3899,"AFF3","AF4/FMR2 family, member 3","2:99551474-100104454","2q11.2-q12","yes","","ALL, T-ALL","","","L","Dom","oncogene","T","KMT2A, RUNX1","","","MLLT2-like,3899,AFF3,ENSG00000144218,LAF4,P51826","P51826","5 out of 5"
3927,"LASP1","LIM and SH3 protein 1","17:38870190-38918778","17q11-q21.3","yes","","AML","","","L","Dom","","T","KMT2A","","","ENSG00000002834,3927,LASP1,Q14847,MLN50,Lasp-1","Q14847","5 out of 5"
3932,"LCK","lymphocyte-specific protein tyrosine kinase","1:32274330-32285716","1p35-p34.3","yes","","T-ALL","","","L","Dom","","T","TRB","","","YT16,3932,LCK,P06239,ENSG00000182866,p56lck,pp58lck","P06239","5 out of 5"
3936,"LCP1","lymphocyte cytosolic protein 1 (L-plastin)","13:46127591-46159662","13q14.1-q14.3","yes","","NHL","","","L","Dom","","T","BCL6","","","CP64,LCP1,3936,ENSG00000136167,FLJ39956,DKFZp781A23186,L-PLASTIN,FLJ25423,P13796,FLJ26114,PLS2,LC64P","P13796","5 out of 5"
3977,"LIFR","leukemia inhibitory factor receptor","5:38481595-38530647","5p13-p12","yes","","salivary adenoma","","","E","Dom","","T","PLAG1","","","SJS2,LIFR,3977,ENSG00000113594,SWS,STWS,CD118","P42702","5 out of 5"
4000,"LMNA","lamin A/C","1:156114919-156139106","1q22","yes","","Spitzoid tumour","","","E","Dom","","T","NTRK1","yes","Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others","EMD2,LMNA,4000,ENSG00000160789,LGMD1B,LDP1,PRO1,LMNC,FPLD,CDDC,HGPS,P02545,LFP,IDC,CMD1A,CDCD1,LMN1,CMT2B1,FPL","P02545","5 out of 5"
4004,"LMO1","LIM domain only 1 (rhombotin 1) (RBTN1)","11:8224616-8268634","11p15","yes","yes","T-ALL, neuroblastoma","neuroblastoma","","L","Dom","oncogene/fusion","T, A","TRD","","","RBTN1,LMO1,4004,ENSG00000166407,P25800,RHOM1,TTG1","P25800","5 out of 5"
4005,"LMO2","LIM domain only 2 (rhombotin-like 1) (RBTN2)","11:33859356-33869386","11p13","yes","","T-ALL","","","L","Dom","oncogene/fusion","T","TRD","","","RBTN2,4005,LMO2,ENSG00000135363,P25791,TTG2,RBTNL1,RHOM2","P25791","5 out of 5"
4026,"LPP","LIM domain containing preferred translocation partner in lipoma","3:188406122-188874480","3q28","yes","","lipoma, leukaemia","","","L, M","Dom","","T","HMGA2, KMT2A, C12orf9","","","Q93052,4026,LPP,ENSG00000145012","Q93052","5 out of 5"
4066,"LYL1","lymphoblastic leukemia derived sequence 1","19:13099319-13101171","19p13.2-p13.1","yes","","T-ALL","","","L","Dom","oncogene/fusion","T","TRB","","","P12980,LYL1,4066,ENSG00000104903","P12980","5 out of 5"
4087,"SMAD2","SMAD family member 2","18:47841827-47896756","18q21","yes","","colorectal carcinoma, hepatocellular carcinoma","","","E","Rec","TSG","Mis, N","","","","MADH2,4087,SMAD2,ENSG00000175387,MGC34440,MGC22139,hMAD-2,MADR2,JV18-1,hSMAD2,JV18","Q15796","5 out of 5"
4088,"SMAD3","SMAD family member 3","15:67066155-67190536","15q21-q22","yes","","colorectal carcinoma, oral squamous cell carcinoma","","","E","Rec","TSG","Mis","","","","JV15-2,4088,SMAD3,ENSG00000166949,P84022,Smad3,MADH3,HsT17436,Smad 3,DKFZp686J10186,HSPC193,DKFZP586N0721,MGC60396","P84022","5 out of 5"
4089,"SMAD4","SMAD family member 4","18:51047047-51078467","18q21.1","yes","yes","colorectal, pancreatic, small intestine","gastrointestinal polyp","juvenile polyposis","E","Rec","TSG","D, Mis, N, F","","","","JIP,Q13485,SMAD4,4089,ENSG00000141646,MADH4,DPC4","Q13485","5 out of 5"
4094,"MAF","v-maf musculoaponeurotic fibrosarcoma oncogene homolog","16:79594460-79599902","16q22-q23","yes","","MM","","","L","Dom","oncogene/fusion","T","IGH","","","MGC71685,MAF,4094,ENSG00000178573","O75444","5 out of 5"
4149,"MAX","Myc associated factor X","14:65076476-65102339","14q23","yes","yes","pheochromocytoma, endometrioid carcinoma, colon carcinoma","pheochromocytoma","","E, O","Rec","TSG","Mis, N, F","","","","MGC36767,MAX,4149,ENSG00000125952,MGC18164,MGC10775,P61244,MGC11225,orf1,MGC34679","P61244","5 out of 5"
4193,"MDM2","Mdm2 p53 binding protein homolog","12:68808478-68839849","12q15","yes","","sarcoma, glioma, colorectal, other tumour types","","","M, O, E, L","Dom","oncogene","A","","","","HDM2,4193,MDM2,ENSG00000135679,HDMX,MGC71221,hdm2,Q00987","Q00987","5 out of 5"
4194,"MDM4","Mdm4 p53 binding protein homolog","1:204525519-204549682","1q32","yes","","glioblastoma, bladder, retinoblastoma","","","M","Dom","oncogene","A","","","","DKFZp781B1423,MDM4,4194,ENSG00000198625,RP11-430C7_1,MRP1,MDMX,MGC132766","O15151","5 out of 5"
4214,"MAP3K1","mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase","5:56152434-56189507","5q11.2","yes","","luminal A breast","","","E","Rec","oncogene/TSG","N, F, Mis, O, S","","yes","46,XY sex reversal 6","ENSG00000095015,MAP3K1,4214,Q13233,MEKK1,MEKK,MAPKKK1","Q13233","5 out of 5"
4221,"MEN1","multiple endocrine neoplasia type 1 gene","11:64804334-64810109","11q13","yes","yes","parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid","multiple endocrine neoplasia type 1","E","Rec","TSG","D, Mis, N, F, S","","","","ENSG00000133895,MEN1,4221","O00255","5 out of 5"
4233,"MET","met proto-oncogene (hepatocyte growth factor receptor)","7:116699085-116796124","7q31","yes","","papillary renal, head-neck squamous cell","papillary renal","familial papillary renal cancer","E","Dom","oncogene","Mis","","","","RCCP2,4233,MET,ENSG00000105976,P08581,HGFR,AUTS9","P08581","5 out of 5"
4261,"CIITA","class II, major histocompatibility complex, transactivator","16:10877332-10923304","16p13","yes","","PMBL, Hodgkin lymphoma","","","L","Dom","TSG","T","C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6","","","P33076,4261,CIITA,ENSG00000179583,MHC2TA,C2TA","P33076","5 out of 5"
4286,"MITF","melanogenesis-associated transcription factor","3:69936723-69965248","3p14.1","yes","","melanoma","","","E","Dom","oncogene","A","","yes","Waardenburg syndrome type 2, Tietz syndrome","MITF,WS2A,ENSG00000187098,4286","O75030","5 out of 5"
4291,"MLF1","myeloid leukemia factor 1","3:158571302-158605203","3q25.1","yes","","AML","","","L","Dom","","T","NPM1","","","P58340,4291,MLF1,ENSG00000178053","P58340","5 out of 5"
4292,"MLH1","E.coli MutL homolog gene","3:36993548-37050653","3p21.3","yes","yes","colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O","Rec","TSG","D, Mis, N, F, S","","","","COCA2,MLH1,4292,ENSG00000076242,hMLH1,FCC2,HNPCC2,P40692,MGC5172,HNPCC","P40692","5 out of 5"
4297,"KMT2A","lysine (K)-specific methyltransferase 2A","11:118436513-118522172","11q23","yes","","AML, ALL","","","L","Dom","oncogene","T, O","KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18","","","TRX1,KMT2A,4297,MLL,ENSG00000118058,MLL/GAS7,HTRX1,HRX,ALL-1,MLL1A,CXXC7","Q03164","5 out of 5"
4298,"MLLT1","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)","19:6213042-6279784","19p13.3","yes","","AL","","","L","Dom","oncogene","T","KMT2A","","","ENL,MLLT1,4298,ENSG00000130382,Q03111,YEATS1,LTG19","Q03111","5 out of 5"
4299,"AFF1","AF4/FMR2 family, member 1","4:87007409-87135702","4q21","yes","","AL","","","L","Dom","oncogene","T","KMT2A","","","MLLT2,AFF1,4299,ENSG00000172493,P51825,AF-4,PBM1","P51825","5 out of 5"
4300,"MLLT3","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)","9:20346443-20622256","9p22","yes","","ALL","","","L","Dom","oncogene","T","KMT2A","","","AF9,4300,MLLT3,ENSG00000171843,P42568,YEATS3,AF-9","P42568","5 out of 5"
4301,"MLLT4","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)","6:167827134-167952263","6q27","yes","","AL","","","L","Dom","oncogene/fusion","T","KMT2A","","","ENSG00000130396,MLLT4,4301","P55196","5 out of 5"
4302,"MLLT6","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)","17:36861887-36881852","17q21","yes","","AL","","","L","Dom","","T","KMT2A","","","AF17,4302,MLLT6,ENSG00000108292,P55198","P55198","4 out of 5"
4303,"FOXO4","forkhead box O4","X:71096529-71102084","Xq13.1","yes","","AL, soft tissue sarcoma","","","L, M","Dom","oncogene/TSG","T","KMT2A, CIC","","","P98177,FOXO4,4303,ENSG00000184481,MLLT7,AFX1","P98177","5 out of 5"
4330,"MN1","meningioma (disrupted in balanced translocation) 1","22:27750915-27800543","22q13","yes","","AML, meningioma","","","L, O","Dom","oncogene/fusion","T","ETV6","","","MN1,Q10571,MGCR1-PEN,MGCR1,MGCR,dJ353E16_2,ENSG00000169184,4330","Q10571","3 out of 5"
4352,"MPL","myeloproliferative leukaemia virus oncogene, thrombopoietin receptor","1:43337849-43352772","1p34","yes","yes","MPN","MPN","familial essential thrombocythemia","L","Dom","oncogene","Mis","","yes","Congenital amegakaryocytic thrombocytopenia","TPOR,P40238,MPL,4352,ENSG00000117400,CD110,MPLV,C-MPL,RP1-92O14_1","P40238","5 out of 5"
4436,"MSH2","mutS homolog 2 (E. coli)","2:47403192-47482949","2p22-p21","yes","yes","colorectal, endometrial, ovarian","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E","Rec","TSG","D, Mis, N, F, S","","","","COCA1,4436,MSH2,ENSG00000095002,HNPCC,FCC1,HNPCC1,P43246","P43246","5 out of 5"
4478,"MSN","moesin","X:65667842-65739893","Xq11.2-q12","yes","","ALCL","","","L","Dom","","T","ALK","","","P26038,MSN,4478,ENSG00000147065","P26038","5 out of 5"
4515,"MTCP1","mature T-cell proliferation 1","X:155061843-155064023","Xq28","yes","","T cell prolymphocytic leukaemia","","","L","Dom","oncogene/fusion","T","TRA","","","C6_1B,MTCP1,4515,ENSG00000214827,GS1-273L24_4","P56278","4 out of 5"
4582,"MUC1","mucin 1, transmembrane","1:155186135-155192843","1q21","yes","","B-NHL","","","L","Dom","","T","IGH","","","PEM,4582,MUC1,ENSG00000185499,PUM,MAM6,EMA,CD227,H23AG","P15941","5 out of 5"
4595,"MUTYH","mutY homolog (E. coli)","1:45329306-45340254","1p34.3-1p32.1","","yes","","colorectal","adenomatous polyposis coli","E","Rec","TSG","Mis","","","","MYH,MUTYH,4595,ENSG00000132781,hMYH,MGC4416,MYHbeta","Q9UIF7","5 out of 5"
4602,"MYB","v-myb myeloblastosis viral oncogene homolog","6:135181514-135217980","6q22-23","yes","","adenoid cystic carcinoma","","","E","Dom","oncogene/fusion","T","NFIB","","","c-myb_CDS,4602,MYB,ENSG00000118513,P10242,efg,Cmyb,c-myb","P10242","5 out of 5"
4609,"MYC","v-myc myelocytomatosis viral oncogene homolog (avian)","8:127738263-127740958","8q24.12-q24.13","yes","","Burkitt lymphoma, amplified in other cancers, B-CLL","","","L, E","Dom","oncogene","A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH","","","c-Myc,MYC,4609,ENSG00000136997","P01106","5 out of 5"
4610,"MYCL","v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog","1:39900814-39901434","1p34.2","yes","","small cell lung carcinoma","","","E","Dom","oncogene","A","","","","LMYC,4610,MYCL1,MYCL,ENSG00000116990,MYCL","P12524","4 out of 5"
4613,"MYCN","v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","2:15942065-15946097","2p24.1","yes","","neuroblastoma","","","O","Dom","oncogene","A","","","","N-myc,4613,MYCN,ENSG00000134323,NMYC,MODED,ODED","P04198","5 out of 5"
4615,"MYD88","myeloid differentiation primary response gene (88)","3:38138662-38141286","3p22","yes","","ABC-DLBCL","","","L","Dom","oncogene","Mis","","","","MYD88,Q99836,MYD88D,4615","Q99836","5 out of 5"
4627,"MYH9","myosin, heavy polypeptide 9, non-muscle","22:36282668-36349236","22q13.1","yes","","ALCL","","","L","Dom","TSG/fusion","T","ALK","yes","Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","P35579,MYH9,4627,ENSG00000100345,DFNA17","P35579","5 out of 5"
4629,"MYH11","myosin, heavy polypeptide 11, smooth muscle","16:15708811-15838252","16p13.13-p13.12","yes","","AML","","","L","Dom","","T","CBFB","","","ENSG00000133392,MYH11,4629","P35749","5 out of 5"
4644,"MYO5A","myosin VA (heavy chain 12, myoxin)","15:52313696-52528806","15q21","yes","","Spitzoid tumour","","","E","Dom","","T","ROS1","yes","Griscelli syndrome","MYO5A,Q9Y4I1,MYR12,MYO5,MYH12,GS1,ENSG00000197535,4644","Q9Y4I1","5 out of 5"
4654,"MYOD1","myogenic differentiation 1","11:17719783-17721508","11p15.4","yes","","embryonal rhabdomyosarcoma","","","M","Dom","oncogene","Mis","","","","ENSG00000129152,4654,MYOD1,P15172,PUM,MYOD,MYF3","P15172","5 out of 5"
4665,"NAB2","NGFI-A binding protein 2","12:57089272-57094721","12q13.3","yes","","solitary fibrous tumour, meningeal haemangiopericytoma","","","M, O","Dom","TSG/fusion","T","STAT6","","","MADER,4665,NAB2,ENSG00000166886,Q15742,MGC75085","Q15742","5 out of 5"
4666,"NACA","nascent-polypeptide-associated complex alpha polypeptide","12:56712538-56724521","12q23-q24.1","yes","","NHL","","","L","Dom","","T","BCL6","","","HSD48,4666,NACA,ENSG00000196531,MGC117224,NACA1,Q13765,FKSG17,NACAP1","E9PAV3","4 out of 5"
4666,"NACA","nascent-polypeptide-associated complex alpha polypeptide","12:56712538-56724521","12q23-q24.1","yes","","NHL","","","L","Dom","","T","BCL6","","","HSD48,4666,NACA,ENSG00000196531,MGC117224,NACA1,Q13765,FKSG17,NACAP1","Q13765","5 out of 5"
4683,"NBN","nibrin","8:89935582-89984561","8q21","","yes","","NHL, glioma, medulloblastoma, rhabdomyosarcoma","Nijmegen breakage syndrome","L, E, M, O","Rec","TSG","Mis, N, F","","","","AT-V2,4683,NBN,ENSG00000104320,ATV,FLJ10155,NBS,AT-V1,MGC87362,NBS1","O60934","5 out of 5"
4763,"NF1","neurofibromatosis type 1 gene","17:31095310-31374155","17q12","yes","yes","neurofibroma, glioma","neurofibroma, glioma","neurofibromatosis type 1","O","Rec","TSG/fusion","D, Mis, N, F, S, O","","","","NFNS,NF1,4763,ENSG00000196712,P21359","P21359","5 out of 5"
4771,"NF2","neurofibromatosis type 2 gene","22:29603999-29694802","22q12.2","yes","yes","meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma","neurofibromatosis type 2","O","Rec","TSG","D, Mis, N, F, S, O","","","","ACN,4771,NF2,ENSG00000186575,P35240,SCH,Merlin,BANF","P35240","5 out of 5"
4773,"NFATC2","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2","20:51391396-51542499","20q13.2","yes","","Ewing sarcoma","","","M","Dom","oncogene/fusion","T","EWSR1","","","ENSG00000101096,4773,NFATC2,Q13469,NFATP,NFAT1,KIAA0611","Q13469","5 out of 5"
4780,"NFE2L2","nuclear factor (erythroid-derived 2)-like 2 (NRF2)","2:177230785-177264576","2q31","yes","","NSCLC, HNSCC","","","E","Dom","oncogene/TSG","Mis","","","","ENSG00000116044,4780,NFE2L2,Q16236,NRF2","Q16236","5 out of 5"
4781,"NFIB","nuclear factor I/B","9:14088309-14313511","9p24.1","yes","","adenoid cystic carcinoma, lipoma","","","E","Dom","","T","MYB, HGMA2","","","RP11-280O24_2,4781,NFIB,ENSG00000147862,NFIB2,NFI-RED,NFIB3","O00712","5 out of 5"
4791,"NFKB2","nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)","10:102395960-102402376","10q24","yes","","B-NHL","","","L","Dom","oncogene","T","IGH","","","ENSG00000077150,LYT10,LYT-10,4791,NFKB2","Q00653","5 out of 5"
4794,"NFKBIE","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon","6:44259219-44265763","6p21.1","yes","","CLL, desmoplastic melanoma","","","L, E","Dom/Rec","TSG","F, Mis","","","","ENSG00000146232,4794,NFKBIE,O00221,IKBE","O00221","5 out of 5"
4841,"NONO","non-POU domain containing, octamer-binding","X:71290638-71300076","Xq13.1","yes","","papillary renal","","","E","Dom","","T","TFE3","","","Q15233,4841,NONO,ENSG00000147140,NRB54,P54NRB,NMT55,P54","Q15233","5 out of 5"
4849,"CNOT3","CCR4-NOT transcription complex subunit 3","19:54142979-54155407","19q13.4","yes","","T-ALL","","","L","Rec","TSG","Mis, N, F","","","","KIAA0691,4849,CNOT3,ENSG00000088038,O75175,NOT3H,NOT3,LENG2","O75175","5 out of 5"
4851,"NOTCH1","Notch homolog 1, translocation-associated (Drosophila) (TAN1)","9:136496071-136545786","9q34.3","yes","","T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC","","","L, E","Dom/Rec","oncogene/TSG","T, Mis, O","TRB, SEC16A, GABBR2","","","TAN1,NOTCH1,P46531,4851,ENSG00000148400,hN1","P46531","5 out of 5"
4853,"NOTCH2","Notch homolog 2","1:119915306-120069406","1p13-p11","yes","","marginal zone lymphoma, DLBCL, bladder","","","L, E","Dom/Rec","oncogene/TSG","N, F, Mis","","yes","Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","Q04721,4853,NOTCH2,ENSG00000134250,AGS2,hN2","Q04721","5 out of 5"
4869,"NPM1","nucleophosmin (nucleolar phosphoprotein B23, numatrin)","5:171387949-171410565","5q35","yes","","NHL, APL, AML","","","L","Dom","oncogene/fusion","T, F","ALK, RARA, MLF1","","","NPM,4869,NPM1,ENSG00000181163,P06748,B23,MGC104254","P06748","5 out of 5"
4893,"NRAS","neuroblastoma RAS viral (v-ras) oncogene homolog","1:114708535-114716160","1p13.2","yes","","melanoma, MM, AML, thyroid","","","L, E","Dom","oncogene","Mis","","","","N-ras,4893,NRAS,ENSG00000213281,P01111,NRAS1","P01111","5 out of 5"
4914,"NTRK1","neurotrophic tyrosine kinase, receptor, type 1","1:156860935-156881642","1q21-q22","yes","","papillary thyroid, Spitzoid tumour","","","E","Dom","","T","TPM3, TPR, TFG, TP53, LMNA","","","ENSG00000198400,4914,NTRK1,P04629,TRK1,MTC,DKFZp781I14186,p140-TrkA,TRKA,TRK","P04629","5 out of 5"
4916,"NTRK3","neurotrophic tyrosine kinase, receptor, type 3","15:87876935-88256153","15q25","yes","","congenital fibrosarcoma, secretory breast","","","E, M","Dom","oncogene/fusion","T","ETV6","","","TRKC,4916,NTRK3,ENSG00000140538,Q16288,gp145(trkC)","Q16288","5 out of 5"
4921,"DDR2","discoidin domain receptor 2","1:162719064-162780246","1q12-q23","yes","","squamous cell carcinoma, NSCLC","","","E","Dom","oncogene","Mis, N","","yes","Spondylometaepiphyseal dysplasia, short limb-hand type","NTRKR3,4921,DDR2,ENSG00000162733,Q16832,MIG20a,TYRO10","Q16832","5 out of 5"
4926,"NUMA1","nuclear mitotic apparatus protein 1","11:72003527-72035943","11q13","yes","","APL","","","L","Dom","","T","RARA","","","Q14980,NUMA1,4926,ENSG00000137497,NUMA","Q14980","5 out of 5"
4928,"NUP98","nucleoporin 98kDa","11:3676159-3782117","11p15","yes","","AML","","","L","Dom","oncogene/fusion","T","HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11","","","NUP196,NUP98,4928,ADIR2,ENSG00000110713","P52948","5 out of 5"
4958,"OMD","osteomodulin","9:92415152-92417558","9q22.31","yes","","aneurysmal bone cyst","","","M","Dom","","T","USP6","","","osteoadherin,OMD,4958,ENSG00000127083,Q99983,SLRR2C","Q99983","5 out of 5"
